Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
24,23-<24 mo,70,0,70,+,+,99.80%,94.51%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Lip/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,378,0,19,100.00%,100.00%,99.72%,99.72%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,359,3,12,99.18%,99.18%,99.73%,99.45%,99.44%,99.71%,0.47%,0.47%,0.47%,0.47%
3,2-<3 mo,344,1,14,99.73%,98.91%,99.73%,99.18%,99.95%,99.66%,0.27%,0.54%,0.28%,0.55%
4,3-<4 mo,329,0,12,100.00%,98.91%,99.73%,98.92%,100.00%,99.66%,0.00%,0.54%,0.00%,0.55%
5,4-<5 mo,317,1,20,99.70%,98.62%,99.73%,98.66%,99.92%,99.66%,0.30%,0.61%,0.30%,0.55%
6,5-<6 mo,296,0,13,100.00%,98.62%,99.73%,98.40%,100.00%,99.66%,0.00%,0.61%,0.00%,0.55%
7,6-<7 mo,283,1,19,99.66%,98.29%,99.73%,98.14%,99.88%,99.66%,0.34%,0.69%,0.34%,0.55%
8,7-<8 mo,263,0,18,100.00%,98.29%,99.73%,97.88%,100.00%,99.66%,0.00%,0.69%,0.00%,0.55%
9,8-<9 mo,245,1,12,99.61%,97.91%,99.72%,97.61%,99.84%,99.66%,0.39%,0.78%,0.39%,0.55%
10,9-<10 mo,232,0,11,100.00%,97.91%,99.72%,97.34%,100.00%,99.66%,0.00%,0.78%,0.00%,0.55%
11,10-<11 mo,221,1,18,99.56%,97.48%,99.72%,97.07%,99.79%,99.66%,0.44%,0.88%,0.44%,0.55%
12,11-<12 mo,202,3,18,98.52%,96.06%,99.72%,96.81%,98.78%,99.07%,0.84%,1.19%,0.85%,1.25%
13,12-<13 mo,181,0,13,100.00%,96.06%,99.68%,96.51%,100.00%,99.07%,0.00%,1.19%,0.00%,1.25%
14,13-<14 mo,168,0,16,100.00%,96.06%,99.67%,96.20%,100.00%,99.07%,0.00%,1.19%,0.00%,1.25%
15,14-<15 mo,152,0,12,100.00%,96.06%,99.67%,95.89%,100.00%,99.07%,0.00%,1.19%,0.00%,1.25%
16,15-<16 mo,140,2,14,98.50%,94.67%,99.66%,95.57%,98.79%,98.69%,1.04%,1.50%,1.05%,1.63%
17,16-<17 mo,124,0,13,100.00%,94.67%,99.67%,95.27%,100.00%,98.69%,0.00%,1.50%,0.00%,1.63%
18,17-<18 mo,111,0,19,100.00%,94.67%,99.66%,94.96%,100.00%,98.69%,0.00%,1.50%,0.00%,1.63%
19,18-<19 mo,92,0,16,100.00%,94.67%,99.66%,94.64%,100.00%,98.69%,0.00%,1.50%,0.00%,1.63%
20,19-<20 mo,76,1,21,98.51%,93.22%,99.66%,94.33%,98.54%,97.49%,1.45%,2.05%,1.45%,2.17%
21,20-<21 mo,54,0,17,100.00%,93.22%,99.67%,94.04%,100.00%,97.49%,0.00%,2.05%,0.00%,2.17%
22,21-<22 mo,37,0,11,100.00%,93.22%,99.70%,93.76%,100.00%,97.49%,0.00%,2.05%,0.00%,2.17%
23,22-<23 mo,26,0,15,100.00%,93.22%,99.74%,93.53%,100.00%,97.49%,0.00%,2.05%,0.00%,2.17%
24,23-<24 mo,11,0,11,+,+,99.83%,93.38%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Tongue/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,838,10,36,98.72%,98.72%,99.79%,99.79%,98.92%,98.92%,0.42%,0.42%,0.42%,0.42%
2,1-<2 mo,792,10,36,98.44%,97.18%,99.80%,99.59%,98.64%,97.58%,0.50%,0.64%,0.50%,0.64%
3,2-<3 mo,746,16,41,97.50%,94.77%,99.80%,99.39%,97.70%,95.34%,0.64%,0.87%,0.64%,0.88%
4,3-<4 mo,689,8,33,98.51%,93.39%,99.81%,99.20%,98.69%,94.12%,0.53%,0.98%,0.54%,0.99%
5,4-<5 mo,648,10,35,98.33%,91.85%,99.81%,99.01%,98.52%,92.74%,0.55%,1.09%,0.55%,1.10%
6,5-<6 mo,603,11,31,97.96%,90.00%,99.81%,98.82%,98.14%,91.04%,0.64%,1.20%,0.64%,1.22%
7,6-<7 mo,561,6,32,98.76%,88.91%,99.81%,98.64%,98.94%,90.10%,0.53%,1.27%,0.53%,1.29%
8,7-<8 mo,523,6,24,98.39%,87.56%,99.81%,98.45%,98.55%,88.86%,0.66%,1.35%,0.66%,1.38%
9,8-<9 mo,493,10,36,97.71%,85.58%,99.82%,98.27%,97.89%,87.01%,0.76%,1.46%,0.76%,1.50%
10,9-<10 mo,447,3,37,99.28%,84.98%,99.82%,98.10%,99.45%,86.54%,0.44%,1.50%,0.44%,1.54%
11,10-<11 mo,407,8,40,97.99%,83.28%,99.82%,97.92%,98.17%,84.96%,0.76%,1.59%,0.76%,1.64%
12,11-<12 mo,359,6,33,98.14%,81.75%,99.82%,97.74%,98.32%,83.54%,0.81%,1.69%,0.81%,1.74%
13,12-<13 mo,320,3,33,99.26%,81.10%,99.81%,97.56%,99.30%,82.93%,0.43%,1.72%,0.43%,1.78%
14,13-<14 mo,284,2,29,99.11%,80.42%,99.81%,97.37%,99.29%,82.48%,0.67%,1.78%,0.67%,1.84%
15,14-<15 mo,253,2,26,99.34%,79.83%,99.81%,97.19%,99.35%,81.91%,0.46%,1.82%,0.46%,1.88%
16,15-<16 mo,225,1,23,99.23%,79.27%,99.82%,97.02%,99.37%,81.53%,0.76%,1.88%,0.76%,1.96%
17,16-<17 mo,201,0,40,100.00%,79.27%,99.82%,96.84%,100.00%,81.53%,0.00%,1.88%,0.00%,1.96%
18,17-<18 mo,161,1,22,98.88%,78.46%,99.82%,96.68%,99.00%,80.87%,1.11%,2.02%,1.11%,2.11%
19,18-<19 mo,138,0,26,100.00%,78.46%,99.82%,96.50%,100.00%,80.87%,0.00%,2.02%,0.00%,2.11%
20,19-<20 mo,112,0,19,100.00%,78.46%,99.81%,96.33%,100.00%,80.87%,0.00%,2.02%,0.00%,2.11%
21,20-<21 mo,93,1,26,97.57%,76.76%,99.80%,96.14%,97.71%,79.37%,2.36%,2.55%,2.37%,2.70%
22,21-<22 mo,66,0,20,100.00%,76.76%,99.80%,95.95%,100.00%,79.37%,0.00%,2.55%,0.00%,2.70%
23,22-<23 mo,46,0,30,100.00%,76.76%,99.79%,95.75%,100.00%,79.37%,0.00%,2.55%,0.00%,2.70%
24,23-<24 mo,16,0,16,+,+,99.87%,95.63%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Salivary Gland/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,383,4,21,98.82%,98.82%,99.72%,99.72%,99.09%,99.09%,0.59%,0.59%,0.59%,0.59%
2,1-<2 mo,358,7,20,97.91%,96.76%,99.73%,99.45%,98.17%,97.29%,0.79%,0.96%,0.79%,0.97%
3,2-<3 mo,331,6,19,98.11%,94.96%,99.73%,99.18%,98.34%,95.69%,0.76%,1.19%,0.77%,1.20%
4,3-<4 mo,306,4,12,98.49%,93.56%,99.73%,98.91%,98.75%,94.54%,0.75%,1.35%,0.75%,1.38%
5,4-<5 mo,290,3,17,98.83%,92.51%,99.74%,98.66%,99.05%,93.68%,0.67%,1.45%,0.67%,1.49%
6,5-<6 mo,270,1,10,99.58%,92.15%,99.73%,98.40%,99.81%,93.51%,0.41%,1.49%,0.42%,1.53%
7,6-<7 mo,259,7,10,97.03%,89.52%,99.73%,98.14%,97.28%,91.12%,1.11%,1.73%,1.11%,1.78%
8,7-<8 mo,242,5,13,97.51%,87.35%,99.74%,97.89%,97.75%,89.11%,1.10%,1.93%,1.10%,1.99%
9,8-<9 mo,224,4,14,97.99%,85.57%,99.74%,97.63%,98.25%,87.53%,1.01%,2.09%,1.01%,2.16%
10,9-<10 mo,206,1,13,99.44%,85.14%,99.73%,97.38%,99.67%,87.26%,0.55%,2.12%,0.56%,2.20%
11,10-<11 mo,192,2,11,98.82%,84.23%,99.74%,97.13%,99.03%,86.47%,0.83%,2.18%,0.83%,2.27%
12,11-<12 mo,179,3,15,98.12%,82.56%,99.74%,96.89%,98.16%,84.89%,1.09%,2.35%,1.09%,2.44%
13,12-<13 mo,161,1,7,99.19%,81.89%,99.72%,96.62%,99.22%,84.24%,0.80%,2.41%,0.80%,2.50%
14,13-<14 mo,153,1,17,99.22%,81.31%,99.71%,96.36%,99.46%,84.17%,0.77%,2.46%,0.78%,2.58%
15,14-<15 mo,135,2,14,98.21%,79.99%,99.71%,96.08%,98.45%,82.95%,1.24%,2.57%,1.24%,2.71%
16,15-<16 mo,119,3,14,96.74%,77.59%,99.73%,95.83%,97.00%,80.66%,1.84%,2.81%,1.85%,2.98%
17,16-<17 mo,102,1,12,98.71%,76.73%,99.74%,95.59%,98.93%,79.87%,1.27%,2.90%,1.27%,3.08%
18,17-<18 mo,89,1,16,98.49%,75.75%,99.74%,95.35%,98.71%,78.95%,1.48%,3.00%,1.49%,3.20%
19,18-<19 mo,72,2,14,96.43%,73.51%,99.73%,95.11%,96.64%,76.64%,2.42%,3.23%,2.43%,3.48%
20,19-<20 mo,56,0,14,100.00%,73.51%,99.74%,94.87%,100.00%,76.64%,0.00%,3.23%,0.00%,3.48%
21,20-<21 mo,42,0,12,100.00%,73.51%,99.72%,94.62%,100.00%,76.64%,0.00%,3.23%,0.00%,3.48%
22,21-<22 mo,30,1,9,95.62%,70.98%,99.70%,94.34%,95.87%,74.27%,4.15%,3.85%,4.18%,4.24%
23,22-<23 mo,20,0,13,100.00%,70.98%,99.71%,94.08%,100.00%,74.27%,0.00%,3.85%,0.00%,4.24%
24,23-<24 mo,7,0,7,+,+,99.64%,93.75%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Floor of Mouth/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,83,2,6,97.21%,97.21%,99.76%,99.76%,97.41%,97.41%,1.93%,1.93%,1.93%,1.93%
2,1-<2 mo,75,0,3,100.00%,97.21%,99.77%,99.53%,100.00%,97.41%,0.00%,1.93%,0.00%,1.93%
3,2-<3 mo,72,2,2,97.35%,94.61%,99.79%,99.32%,97.54%,95.23%,1.88%,2.64%,1.88%,2.66%
4,3-<4 mo,68,3,3,96.62%,91.36%,99.78%,99.11%,96.65%,91.99%,1.83%,3.13%,1.83%,3.15%
5,4-<5 mo,62,3,4,94.96%,86.74%,99.78%,98.89%,95.17%,87.74%,2.86%,3.98%,2.87%,4.02%
6,5-<6 mo,55,1,4,98.51%,85.55%,99.78%,98.67%,98.54%,86.56%,1.45%,4.09%,1.45%,4.13%
7,6-<7 mo,50,0,5,100.00%,85.55%,99.77%,98.45%,100.00%,86.56%,0.00%,4.09%,0.00%,4.13%
8,7-<8 mo,45,0,2,100.00%,85.55%,99.77%,98.22%,100.00%,86.56%,0.00%,4.09%,0.00%,4.13%
9,8-<9 mo,43,3,2,93.89%,80.58%,99.77%,97.99%,94.09%,82.23%,3.38%,4.74%,3.39%,4.84%
10,9-<10 mo,38,0,2,100.00%,80.58%,99.80%,97.80%,100.00%,82.23%,0.00%,4.74%,0.00%,4.84%
11,10-<11 mo,36,2,1,94.68%,76.51%,99.81%,97.62%,94.85%,78.34%,3.65%,5.30%,3.66%,5.45%
12,11-<12 mo,33,0,6,100.00%,76.51%,99.81%,97.43%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
13,12-<13 mo,27,0,4,100.00%,76.51%,99.77%,97.21%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
14,13-<14 mo,23,0,1,100.00%,76.51%,99.77%,96.99%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
15,14-<15 mo,22,0,4,100.00%,76.51%,99.79%,96.79%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
16,15-<16 mo,18,0,4,100.00%,76.51%,99.78%,96.58%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
17,16-<17 mo,14,0,2,100.00%,76.51%,99.84%,96.42%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
18,17-<18 mo,12,0,4,100.00%,76.51%,99.83%,96.26%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
19,18-<19 mo,8,0,1,100.00%,76.51%,99.82%,96.09%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
20,19-<20 mo,7,0,1,100.00%,76.51%,99.81%,95.90%,100.00%,78.34%,0.00%,5.30%,0.00%,5.45%
21,20-<21 mo,6,0,1,+,+,99.81%,95.72%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Gum and Other Mouth/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,374,7,14,98.09%,98.09%,99.68%,99.68%,98.40%,98.40%,0.71%,0.71%,0.72%,0.72%
2,1-<2 mo,353,10,8,97.07%,95.24%,99.70%,99.38%,97.35%,95.81%,0.90%,1.11%,0.91%,1.13%
3,2-<3 mo,335,11,9,96.62%,92.10%,99.71%,99.10%,96.86%,92.87%,0.99%,1.40%,0.99%,1.42%
4,3-<4 mo,315,4,17,98.70%,90.92%,99.72%,98.82%,98.95%,91.89%,0.64%,1.50%,0.65%,1.53%
5,4-<5 mo,294,0,20,100.00%,90.92%,99.72%,98.55%,100.00%,91.89%,0.00%,1.50%,0.00%,1.53%
6,5-<6 mo,274,8,15,96.99%,88.22%,99.72%,98.27%,97.26%,89.70%,1.05%,1.73%,1.06%,1.77%
7,6-<7 mo,251,6,6,97.29%,86.02%,99.72%,98.00%,97.52%,87.62%,1.07%,1.87%,1.08%,1.93%
8,7-<8 mo,239,9,15,95.86%,82.57%,99.73%,97.73%,96.12%,84.33%,1.35%,2.11%,1.36%,2.18%
9,8-<9 mo,215,4,10,97.92%,81.00%,99.75%,97.49%,98.14%,82.87%,1.03%,2.19%,1.04%,2.27%
10,9-<10 mo,201,3,12,98.26%,79.69%,99.76%,97.26%,98.48%,81.70%,1.00%,2.27%,1.00%,2.36%
11,10-<11 mo,186,4,17,97.63%,77.87%,99.75%,97.02%,97.87%,80.02%,1.18%,2.39%,1.19%,2.49%
12,11-<12 mo,165,1,17,99.24%,77.38%,99.78%,96.81%,99.41%,79.61%,0.75%,2.41%,0.76%,2.52%
13,12-<13 mo,147,2,11,98.62%,76.17%,99.76%,96.58%,98.65%,78.44%,0.95%,2.53%,0.95%,2.63%
14,13-<14 mo,134,2,15,98.26%,74.90%,99.78%,96.37%,98.47%,77.41%,1.21%,2.63%,1.22%,2.75%
15,14-<15 mo,117,1,14,99.27%,74.26%,99.77%,96.15%,99.29%,76.81%,0.72%,2.70%,0.72%,2.82%
16,15-<16 mo,102,2,10,97.89%,72.74%,99.77%,95.94%,98.08%,75.48%,1.50%,2.85%,1.51%,2.99%
17,16-<17 mo,90,0,12,100.00%,72.74%,99.76%,95.72%,100.00%,75.48%,0.00%,2.85%,0.00%,2.99%
18,17-<18 mo,78,1,10,98.85%,71.79%,99.78%,95.51%,98.86%,74.54%,1.12%,2.97%,1.12%,3.11%
19,18-<19 mo,67,1,10,98.69%,70.73%,99.76%,95.29%,98.72%,73.59%,1.28%,3.12%,1.28%,3.26%
20,19-<20 mo,56,1,8,97.76%,69.36%,99.76%,95.07%,97.94%,72.59%,2.19%,3.32%,2.20%,3.52%
21,20-<21 mo,47,0,10,100.00%,69.36%,99.77%,94.86%,100.00%,72.59%,0.00%,3.32%,0.00%,3.52%
22,21-<22 mo,37,0,11,100.00%,69.36%,99.75%,94.63%,100.00%,72.59%,0.00%,3.32%,0.00%,3.52%
